,location,pgrm_nm,work_dt,out_dt,bf_out_dt,y_val,rev,gbn
52,f1,pg11,2024-02-22,2024-05-23,2024-05-14,10.0,BASE,1RP
53,f2,pg11,2024-02-23,2024-05-24,2024-05-15,10.0,BASE,1RP
54,f2,pg11,2024-02-24,2024-05-25,2024-05-16,10.0,BASE,1RP
55,f2,pg11,2024-02-25,2024-05-26,2024-05-17,10.0,BASE,1RP
56,f2,pg11,2024-02-26,2024-05-27,2024-05-18,10.0,BASE,1RP
57,f2,pg11,2024-02-27,2024-05-28,2024-05-19,10.0,BASE,1RP
58,f2,pg11,2024-02-28,2024-05-29,2024-05-20,10.0,BASE,1RP
59,f2,pg11,2024-02-29,2024-05-30,2024-05-21,10.0,BASE,1RP
60,f1,pg12,2024-01-01,2024-04-01,2024-03-23,10.0,BASE,1RP
61,f1,pg12,2024-01-02,2024-04-02,2024-03-24,10.0,BASE,1RP
62,f1,pg12,2024-01-03,2024-04-03,2024-03-25,10.0,BASE,1RP
63,f1,pg12,2024-01-04,2024-04-04,2024-03-26,10.0,BASE,1RP
64,f1,pg12,2024-01-05,2024-04-05,2024-03-27,10.0,BASE,1RP
65,f1,pg12,2024-01-06,2024-04-06,2024-03-28,10.0,BASE,1RP
66,f1,pg12,2024-01-07,2024-04-07,2024-03-29,10.0,BASE,1RP
67,f1,pg12,2024-01-08,2024-04-08,2024-03-30,10.0,BASE,1RP
68,f1,pg12,2024-01-09,2024-04-09,2024-03-31,10.0,BASE,1RP
69,f1,pg12,2024-01-10,2024-04-10,2024-04-01,10.0,BASE,1RP
70,f1,pg12,2024-01-11,2024-04-11,2024-04-02,10.0,BASE,1RP
71,f1,pg12,2024-01-12,2024-04-12,2024-04-03,10.0,BASE,1RP
72,f1,pg12,2024-01-13,2024-04-13,2024-04-04,10.0,BASE,1RP
73,f1,pg12,2024-01-14,2024-04-14,2024-04-05,10.0,BASE,1RP
74,f1,pg12,2024-01-15,2024-04-15,2024-04-06,10.0,BASE,1RP
75,f1,pg12,2024-01-16,2024-04-16,2024-04-07,10.0,BASE,1RP
76,f1,pg12,2024-01-17,2024-04-17,2024-04-08,10.0,BASE,1RP
77,f1,pg12,2024-01-18,2024-04-18,2024-04-09,10.0,BASE,1RP
78,f1,pg12,2024-01-19,2024-04-19,2024-04-10,10.0,BASE,1RP
79,f1,pg12,2024-01-20,2024-04-20,2024-04-11,10.0,BASE,1RP
80,f1,pg12,2024-01-21,2024-04-21,2024-04-12,10.0,BASE,1RP
81,f1,pg12,2024-01-22,2024-04-22,2024-04-13,10.0,BASE,1RP
82,f1,pg12,2024-01-23,2024-04-23,2024-04-14,10.0,BASE,1RP
83,f1,pg12,2024-01-24,2024-04-24,2024-04-15,10.0,BASE,1RP
84,f1,pg12,2024-01-25,2024-04-25,2024-04-16,10.0,BASE,1RP
85,f1,pg12,2024-01-26,2024-04-26,2024-04-17,10.0,BASE,1RP
86,f1,pg12,2024-01-27,2024-04-27,2024-04-18,10.0,BASE,1RP
87,f1,pg12,2024-01-28,2024-04-28,2024-04-19,10.0,BASE,1RP
88,f1,pg12,2024-01-29,2024-04-29,2024-04-20,10.0,BASE,1RP
89,f1,pg12,2024-01-30,2024-04-30,2024-04-21,10.0,BASE,1RP
90,f1,pg12,2024-01-31,2024-05-01,2024-04-22,10.0,BASE,1RP
91,f1,pg12,2024-02-01,2024-05-02,2024-04-23,10.0,BASE,1RP
92,f1,pg12,2024-02-02,2024-05-03,2024-04-24,10.0,BASE,1RP
93,f1,pg12,2024-02-03,2024-05-04,2024-04-25,10.0,BASE,1RP
94,f1,pg12,2024-02-04,2024-05-05,2024-04-26,10.0,BASE,1RP
95,f1,pg12,2024-02-05,2024-05-06,2024-04-27,10.0,BASE,1RP
96,f1,pg12,2024-02-06,2024-05-07,2024-04-28,10.0,BASE,1RP
97,f1,pg12,2024-02-07,2024-05-08,2024-04-29,10.0,BASE,1RP
98,f1,pg12,2024-02-08,2024-05-09,2024-04-30,10.0,BASE,1RP
99,f1,pg12,2024-02-09,2024-05-10,2024-05-01,10.0,BASE,1RP
100,f1,pg12,2024-02-10,2024-05-11,2024-05-02,10.0,BASE,1RP
101,f1,pg12,2024-02-11,2024-05-12,2024-05-03,10.0,BASE,1RP
102,f1,pg12,2024-02-12,2024-05-13,2024-05-04,10.0,BASE,1RP
103,f1,pg12,2024-02-13,2024-05-14,2024-05-05,10.0,BASE,1RP
104,f1,pg12,2024-02-14,2024-05-15,2024-05-06,10.0,BASE,1RP
105,f1,pg12,2024-02-15,2024-05-16,2024-05-07,10.0,BASE,1RP
106,f1,pg12,2024-02-16,2024-05-17,2024-05-08,10.0,BASE,1RP
107,f1,pg12,2024-02-17,2024-05-18,2024-05-09,10.0,BASE,1RP
108,f1,pg12,2024-02-18,2024-05-19,2024-05-10,10.0,BASE,1RP
109,f1,pg12,2024-02-19,2024-05-20,2024-05-11,10.0,BASE,1RP
110,f1,pg12,2024-02-20,2024-05-21,2024-05-12,10.0,BASE,1RP
111,f1,pg12,2024-02-21,2024-05-22,2024-05-13,10.0,BASE,1RP
112,f1,pg12,2024-02-22,2024-05-23,2024-05-14,10.0,BASE,1RP
113,f2,pg12,2024-02-23,2024-05-24,2024-05-15,10.0,BASE,1RP
114,f2,pg12,2024-02-24,2024-05-25,2024-05-16,10.0,BASE,1RP
115,f2,pg12,2024-02-25,2024-05-26,2024-05-17,10.0,BASE,1RP
116,f2,pg12,2024-02-26,2024-05-27,2024-05-18,10.0,BASE,1RP
117,f2,pg12,2024-02-27,2024-05-28,2024-05-19,10.0,BASE,1RP
118,f2,pg12,2024-02-28,2024-05-29,2024-05-20,10.0,BASE,1RP
119,f2,pg12,2024-02-29,2024-05-30,2024-05-21,10.0,BASE,1RP
120,f1,pg11,2024-03-01,2024-05-31,2024-05-22,10.0,BASE,1RP
121,f1,pg11,2024-03-02,2024-06-01,2024-05-23,10.0,BASE,1RP
122,f1,pg11,2024-03-03,2024-06-02,2024-05-24,10.0,BASE,1RP
123,f1,pg11,2024-03-04,2024-06-03,2024-05-25,10.0,BASE,1RP
124,f1,pg11,2024-03-05,2024-06-04,2024-05-26,10.0,BASE,1RP
125,f1,pg11,2024-03-06,2024-06-05,2024-05-27,10.0,BASE,1RP
126,f1,pg11,2024-03-07,2024-06-06,2024-05-28,10.0,BASE,1RP
127,f1,pg11,2024-03-08,2024-06-07,2024-05-29,10.0,BASE,1RP
128,f1,pg11,2024-03-09,2024-06-08,2024-05-30,10.0,BASE,1RP
129,f1,pg11,2024-03-10,2024-06-09,2024-05-31,10.0,BASE,1RP
130,f1,pg11,2024-03-11,2024-06-10,2024-06-01,10.0,BASE,1RP
131,f1,pg11,2024-03-12,2024-06-11,2024-06-02,10.0,BASE,1RP
132,f1,pg11,2024-03-13,2024-06-12,2024-06-03,10.0,BASE,1RP
133,f1,pg11,2024-03-14,2024-06-13,2024-06-04,10.0,BASE,1RP
134,f1,pg11,2024-03-15,2024-06-14,2024-06-05,10.0,BASE,1RP
135,f1,pg11,2024-03-16,2024-06-15,2024-06-06,10.0,BASE,1RP
136,f1,pg11,2024-03-17,2024-06-16,2024-06-07,10.0,BASE,1RP
137,f1,pg11,2024-03-18,2024-06-17,2024-06-08,10.0,BASE,1RP
138,f1,pg11,2024-03-19,2024-06-18,2024-06-09,10.0,BASE,1RP
139,f1,pg11,2024-03-20,2024-06-19,2024-06-10,10.0,BASE,1RP
140,f1,pg11,2024-03-21,2024-06-20,2024-06-11,10.0,BASE,1RP
141,f1,pg11,2024-03-22,2024-06-21,2024-06-12,10.0,BASE,1RP
142,f1,pg11,2024-03-23,2024-06-22,2024-06-13,10.0,BASE,1RP
143,f1,pg11,2024-03-24,2024-06-23,2024-06-14,10.0,BASE,1RP
144,f1,pg11,2024-03-25,2024-06-24,2024-06-15,10.0,BASE,1RP
145,f1,pg11,2024-03-26,2024-06-25,2024-06-16,10.0,BASE,1RP
146,f1,pg11,2024-03-27,2024-06-26,2024-06-17,10.0,BASE,1RP
147,f1,pg11,2024-03-28,2024-06-27,2024-06-18,10.0,BASE,1RP
148,f1,pg11,2024-03-29,2024-06-28,2024-06-19,10.0,BASE,1RP
149,f1,pg11,2024-03-30,2024-06-29,2024-06-20,10.0,BASE,1RP
150,f1,pg11,2024-03-31,2024-06-30,2024-06-21,10.0,BASE,1RP
151,f1,pg11,2024-04-01,2024-07-01,2024-06-22,10.0,BASE,1RP
152,f1,pg11,2024-04-02,2024-07-02,2024-06-23,10.0,BASE,1RP
153,f1,pg11,2024-04-03,2024-07-03,2024-06-24,10.0,BASE,1RP
154,f1,pg11,2024-04-04,2024-07-04,2024-06-25,10.0,BASE,1RP
155,f1,pg11,2024-04-05,2024-07-05,2024-06-26,10.0,BASE,1RP
156,f1,pg11,2024-04-06,2024-07-06,2024-06-27,10.0,BASE,1RP
157,f1,pg11,2024-04-07,2024-07-07,2024-06-28,10.0,BASE,1RP
158,f1,pg11,2024-04-08,2024-07-08,2024-06-29,10.0,BASE,1RP
159,f1,pg11,2024-04-09,2024-07-09,2024-06-30,10.0,BASE,1RP
160,f1,pg11,2024-04-10,2024-07-10,2024-07-01,10.0,BASE,1RP
161,f1,pg11,2024-04-11,2024-07-11,2024-07-02,10.0,BASE,1RP
162,f1,pg11,2024-04-12,2024-07-12,2024-07-03,10.0,BASE,1RP
163,f1,pg11,2024-04-13,2024-07-13,2024-07-04,10.0,BASE,1RP
164,f1,pg11,2024-04-14,2024-07-14,2024-07-05,10.0,BASE,1RP
165,f1,pg11,2024-04-15,2024-07-15,2024-07-06,10.0,BASE,1RP
166,f1,pg11,2024-04-16,2024-07-16,2024-07-07,10.0,BASE,1RP
167,f1,pg11,2024-04-17,2024-07-17,2024-07-08,10.0,BASE,1RP
168,f1,pg11,2024-04-18,2024-07-18,2024-07-09,10.0,BASE,1RP
169,f1,pg11,2024-04-19,2024-07-19,2024-07-10,10.0,BASE,1RP
170,f1,pg11,2024-04-20,2024-07-20,2024-07-11,10.0,BASE,1RP
171,f1,pg11,2024-04-21,2024-07-21,2024-07-12,10.0,BASE,1RP
172,f1,pg11,2024-04-22,2024-07-22,2024-07-13,10.0,BASE,1RP
173,f1,pg11,2024-04-23,2024-07-23,2024-07-14,10.0,BASE,1RP
174,f1,pg11,2024-04-24,2024-07-24,2024-07-15,10.0,BASE,1RP
175,f1,pg11,2024-04-25,2024-07-25,2024-07-16,10.0,BASE,1RP
176,f1,pg11,2024-04-26,2024-07-26,2024-07-17,10.0,BASE,1RP
177,f1,pg11,2024-04-27,2024-07-27,2024-07-18,10.0,BASE,1RP
178,f1,pg11,2024-04-28,2024-07-28,2024-07-19,10.0,BASE,1RP
179,f1,pg11,2024-04-29,2024-07-29,2024-07-20,10.0,BASE,1RP
180,f1,pg11,2024-04-30,2024-07-30,2024-07-21,10.0,BASE,1RP
181,f1,pg11,2024-05-01,2024-07-31,2024-07-22,10.0,BASE,1RP
182,f1,pg11,2024-05-02,2024-08-01,2024-07-23,10.0,BASE,1RP
183,f1,pg11,2024-05-03,2024-08-02,2024-07-24,10.0,BASE,1RP
184,f1,pg11,2024-05-04,2024-08-03,2024-07-25,10.0,BASE,1RP
185,f1,pg11,2024-05-05,2024-08-04,2024-07-26,10.0,BASE,1RP
186,f2,pg11,2024-05-06,2024-08-05,2024-07-27,2.0,BASE,2RP
187,f3,pg11,2024-05-07,2024-08-06,2024-07-28,3.0,BASE,2RP
188,f1,pg12,2024-05-08,2024-08-07,2024-07-29,,BASE,2RP
189,f1,pg11,2024-05-09,2024-08-08,2024-07-30,,BASE,3RP
190,f1,pg12,2024-05-10,2024-08-09,2024-07-31,,BASE,2RP
191,f1,pg11,2024-05-11,2024-08-10,2024-08-01,,BASE,3RP
192,f1,pg11,2024-05-12,2024-08-11,2024-08-02,1.0,BASE,2RP
193,f1,pg12,2024-05-13,2024-08-12,2024-08-03,1.2,BASE,2RP
194,f1,pg13,2024-05-14,2024-08-13,2024-08-04,1.3,BASE,2RP
195,f1,pg14,2024-05-15,2024-08-14,2024-08-05,1.4,BASE,2RP
196,f1,pg15,2024-05-16,2024-08-15,2024-08-06,10.0,BASE,2RP
197,f2,pg16,2024-05-16,2024-08-15,2024-08-06,20.0,BASE,2RP
198,f2,pg16,2024-05-16,2024-08-15,2024-08-06,,BASE,2RP
199,f3,pg16,2024-05-16,2024-08-15,2024-08-06,,BASE,2RP
