App,Category,Rating,Reviews,Size_MBs,Installs,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
TNEB Bill Online Payment (Tamil),SOCIAL,,7,2.3,"5,000",Free,0,Teen,Social,"July 13, 2018",4.0.3 and up
dB Sound Meter,TOOLS,4.1,29,2.3,"5,000",Free,0,Everyone,Tools,"April 25, 2016",4.0.3 and up
EH kontrollrakendus,TOOLS,3.4,43,2.3,"5,000",Free,0,Everyone,Tools,"October 10, 2017",4.1 and up
CG - Calendars Add-On,PRODUCTIVITY,3.6,49,2.3,"5,000",Free,0,Everyone 10+,Productivity,"July 29, 2015",4.0 and up
DC HSEMA,BOOKS_AND_REFERENCE,3.8,38,7.2,"5,000",Free,0,Everyone,Books & Reference,"June 18, 2018",4.4 and up
BQ-መጽሐፍ ቅዱሳዊ ጥያቄዎች,GAME,4.7,191,7.2,"5,000",Free,0,Everyone,Trivia,"July 31, 2018",4.1 and up
DX Simulation for Kabuto Henshin Belt 2018,FAMILY,4.6,14,7.2,"5,000",Free,0,Everyone,Simulation,"August 6, 2018",4.0.3 and up
Sad hair without net,LIBRARIES_AND_DEMO,,20,2.1,"5,000",Free,0,Everyone,Libraries & Demo,"March 26, 2018",2.3 and up
Test de Inteligencia CI,FAMILY,2.9,21,2.1,"5,000",Free,0,Everyone,Education,"May 11, 2015",2.3 and up
Convert degree Celsius to Fahrenheit or °F to °C,TOOLS,4.4,51,2.1,"5,000",Free,0,Everyone,Tools,"May 21, 2018",4.0 and up
Táxi Nacional BR,MAPS_AND_NAVIGATION,,88,9.1,"5,000",Free,0,Everyone,Maps & Navigation,"August 2, 2018",4.0.3 and up
Earn Money BD,FINANCE,3.8,103,6.9,"5,000",Free,0,Everyone,Finance,"July 11, 2018",4.0 and up
Expert C Programming - Learn C Coding Easily,FAMILY,4.4,77,6.9,"5,000",Free,0,Everyone,Education,"January 5, 2018",5.0 and up
EF Mentor: Sounds,FAMILY,,19,6.9,"5,000",Free,0,Everyone,Education,"August 16, 2017",4.1 and up
Manga AZ - Manga Comic Reader,COMICS,3.3,125,4.7,"5,000",Free,0,Teen,Comics,"July 24, 2018",4.0.3 and up
Manga AZ - Manga Comic Reader,COMICS,3.3,126,4.7,"5,000",Free,0,Teen,Comics,"July 24, 2018",4.0.3 and up
Live Girls Talk - Free Video Chat,DATING,4.8,125,4.7,"5,000",Free,0,Mature 17+,Dating,"July 8, 2018",4.0.3 and up
Live Girls Talk - Free Video Chat,DATING,4.8,125,4.7,"5,000",Free,0,Mature 17+,Dating,"July 8, 2018",4.0.3 and up
FD Interest Calculator,FINANCE,4.2,17,4.7,"5,000",Free,0,Everyone,Finance,"January 18, 2015",3.0 and up
Ghouls'n Ghosts MOBILE,GAME,3.9,168,49.0,"5,000",Paid,$1.99,Everyone 10+,Arcade,"May 18, 2017",4.1 and up
Hunt Buddy BC,SPORTS,4.4,172,49.0,"5,000",Paid,$2.99,Everyone,Sports,"July 10, 2018",4.0.3 and up
Steam: Rails to Riches,FAMILY,4.2,214,67.0,"5,000",Paid,$4.99,Everyone,Board;Brain Games,"December 13, 2017",4.1 and up
"CR Fans: Mazos, Clanes y Grupos",FAMILY,4.3,219,4.3,"5,000",Free,0,Everyone,Entertainment,"December 21, 2017",2.3 and up
Sanu Ek Pal Chain Song Videos - RAID Movie Songs,FAMILY,4.9,11,4.3,"5,000",Free,0,Everyone,Entertainment,"March 8, 2018",4.0.3 and up
100+ C Programs,FAMILY,4.2,20,1.6,"5,000",Free,0,Everyone,Education,"January 3, 2017",4.0 and up
PORTABLE SOCCER DX,SPORTS,4.4,552,1.6,"5,000",Paid,$1.00,Everyone,Sports,"June 19, 2018",2.2 and up
G-NetTrack Pro,TOOLS,4.3,255,1.6,"5,000",Paid,$14.99,Everyone,Tools,"July 25, 2018",4.0 and up
CG Yojna & Jansampark,FAMILY,4.0,54,4.1,"5,000",Free,0,Teen,Education,"September 12, 2017",2.3 and up
Instant DP Downloader for Instagram,SOCIAL,4.7,38,4.1,"5,000",Free,0,Everyone,Social,"August 4, 2018",4.2 and up
Patron DB,TOOLS,3.9,64,4.1,"5,000",Free,0,Everyone,Tools,"June 1, 2017",4.4 and up
OE TRACKER CE Attendance App,MEDICAL,3.4,16,7.8,"5,000",Free,0,Everyone,Medical,"March 20, 2018",4.4 and up
FL Drone 2,PHOTOGRAPHY,3.3,41,7.8,"5,000",Free,0,Everyone,Photography,"August 17, 2017",2.2 and up
"News-Journal-Daytona Beach, FL",NEWS_AND_MAGAZINES,4.5,76,7.8,"5,000",Free,0,Everyone,News & Magazines,"July 3, 2018",4.4 and up
I am Millionaire - Richest guy in the town,LIFESTYLE,3.6,126,1.4,"5,000",Paid,$2.49,Everyone,Lifestyle,"June 22, 2018",4.1 and up
Roulette Advisor LITE,GAME,4.1,41,1.4,"5,000",Free,0,Everyone,Casino,"August 21, 2014",3.0 and up
EZ Screenshot,TOOLS,4.4,55,1.4,"5,000",Free,0,Everyone,Tools,"September 12, 2017",5.0 and up
BS Play,FAMILY,3.7,56,1.5,"5,000",Free,0,Everyone,Education,"March 4, 2015",4.0 and up
USMLE Step 2 CK Cards Lite,FAMILY,4.0,28,1.5,"5,000",Free,0,Everyone,Education,"May 20, 2014",2.2 and up
Check Your Visitors on FB ?,SOCIAL,3.6,40,1.5,"5,000",Free,0,Everyone,Social,"February 17, 2017",4.2 and up
Yes319 real price login query,HOUSE_AND_HOME,,12,5.1,"5,000",Free,0,Everyone,House & Home,"July 12, 2018",4.0.3 and up
Videos downloader for Facebook:fast fb video saver,VIDEO_PLAYERS,4.3,20,5.1,"5,000",Free,0,Everyone,Video Players & Editors,"April 27, 2018",4.0.3 and up
AP Physics 1 Prep: Practice Tests and Flashcards,FAMILY,4.4,29,5.3,"5,000",Free,0,Everyone,Education,"July 3, 2018",4.1 and up
Sporting CP Keyboard Theme,SPORTS,,45,5.3,"5,000",Free,0,Everyone,Sports,"October 24, 2017",4.0 and up
C Prowess,FAMILY,4.8,306,3.3,"5,000",Free,0,Everyone,Education,"June 3, 2017",4.1 and up
AI with Python Tutorial,FAMILY,4.4,8,3.3,"5,000",Free,0,Everyone,Education,"June 5, 2018",4.1 and up
Blood Pressure Diary,FAMILY,4.6,47,3.3,"5,000",Free,0,Everyone,Simulation,"August 1, 2018",4.0.3 and up
Tap The Easter Egg!,FAMILY,3.2,111,3.3,"5,000",Free,0,Everyone,Casual,"March 18, 2016",2.3 and up
"Chat Mexico: meet people, flirt and friendship",DATING,,8,9.3,"5,000",Free,0,Mature 17+,Dating,"July 2, 2018",4.0.3 and up
CT POSITIONING,MEDICAL,4.5,18,9.3,"5,000",Free,0,Everyone,Medical,"March 10, 2018",4.0.3 and up
Bilingual Dictionary Audio App,BOOKS_AND_REFERENCE,2.7,68,87.0,"5,000",Free,0,Everyone,Books & Reference,"May 2, 2018",4.1 and up
EC - AP & Telangana,BOOKS_AND_REFERENCE,3.5,10,3.0,"5,000",Free,0,Everyone,Books & Reference,"November 10, 2017",4.0.3 and up
FA Part 1 & 2 Past Papers Solved Free – Offline,BOOKS_AND_REFERENCE,3.9,46,3.0,"5,000",Free,0,Everyone,Books & Reference,"April 30, 2018",4.0 and up
Roman Clock AW-7,TOOLS,4.4,52,3.0,"5,000",Free,0,Everyone,Tools,"March 17, 2018",4.3 and up
Video Downloader for FB,TOOLS,4.3,53,3.0,"5,000",Free,0,Everyone,Tools,"August 1, 2018",4.0.3 and up
Results for DC Lottery,FAMILY,4.4,160,8.5,"5,000",Free,0,Everyone,Entertainment,"March 11, 2017",4.1 and up
Aster DM Healthcare,MEDICAL,2.4,32,8.5,"5,000",Free,0,Everyone,Medical,"November 21, 2017",4.0.3 and up
Magana Jari ce Littafi Na Uku : Part 3 of 3,FAMILY,4.8,65,55.0,"5,000",Free,0,Everyone,Education,"November 19, 2017",4.0 and up
Virtual Brain Surgery Simulator : Kid ER Emergency,FAMILY,3.8,20,55.0,"5,000",Free,0,Teen,Educational,"February 23, 2018",4.0 and up
AO/OTA Fracture Classification,MEDICAL,4.9,25,46.0,"5,000",Free,0,Everyone,Medical,"April 17, 2018",5.0 and up
SkyLove – Dating and chat,DATING,3.5,69,36.0,"5,000",Free,0,Mature 17+,Dating,"August 4, 2018",4.4 and up
Robot Fighting Games™ - Real Boxing Champions 3D,GAME,4.4,30,47.0,"5,000",Free,0,Everyone,Action,"July 2, 2018",4.1 and up
AG Subway Simulator Mobile,FAMILY,4.5,623,47.0,"5,000",Paid,$0.99,Everyone,Simulation,"June 2, 2018",4.1 and up
AV Buddy Free,FAMILY,4.1,25,47.0,"5,000",Free,0,Everyone,Education,"March 8, 2017",4.1 and up
Morse Decoder for Ham Radio,COMMUNICATION,3.7,166,2.0,"5,000",Paid,$4.99,Everyone,Communication,"March 14, 2017",2.3 and up
BX Memo,FAMILY,4.3,131,2.0,"5,000",Free,0,Everyone,Education,"November 17, 2016",2.2 and up
BL info,TRAVEL_AND_LOCAL,4.1,98,2.0,"5,000",Free,0,Everyone,Travel & Local,"July 17, 2018",4.3 and up
Android P Wallpapers,PERSONALIZATION,3.6,53,2.0,"5,000",Free,0,Everyone,Personalization,"February 12, 2018",4.0.3 and up
BG video - floating video - background video,VIDEO_PLAYERS,4.1,64,2.0,"5,000",Free,0,Everyone,Video Players & Editors,"May 21, 2018",4.0 and up
I am Rich,FINANCE,4.3,180,3.8,"5,000",Paid,$399.99,Everyone,Finance,"March 22, 2018",4.2 and up
Oración CX,LIFESTYLE,5.0,103,3.8,"5,000",Free,0,Everyone,Lifestyle,"September 12, 2017",4.1 and up
FP Charging Daydream,PERSONALIZATION,3.5,96,3.8,"5,000",Free,0,Everyone,Personalization,"November 23, 2015",4.2 and up
BW-GnuGo,GAME,4.1,64,1.3,"5,000",Free,0,Everyone,Board,"June 2, 2013",2.2 and up
AP Planner,FAMILY,2.9,45,1.3,"5,000",Free,0,Everyone,Education,"August 3, 2015",2.1 and up
Resume Builder - Curriculum Vitae & Resume Maker,BUSINESS,4.0,12,8.1,"5,000",Free,0,Everyone,Business,"June 7, 2018",4.0.3 and up
Power BI Ultimate Orientation,FAMILY,4.3,12,8.1,"5,000",Free,0,Everyone,Education,"February 6, 2017",4.0 and up
"Ocala Star Banner, FL",NEWS_AND_MAGAZINES,4.5,75,8.1,"5,000",Free,0,Everyone,News & Magazines,"July 25, 2018",4.4 and up
Lead'er,FINANCE,4.1,54,5.8,"5,000",Free,0,Everyone,Finance,"March 20, 2018",4.0 and up
Listen to the story~The Story of the Fairy Tales,PARENTING,4.7,69,5.8,"5,000",Free,0,Everyone,Parenting,"July 10, 2018",4.0.3 and up
B & W Filter for Photo Editor Pro,PERSONALIZATION,4.7,65,7.6,"5,000",Free,0,Everyone,Personalization,"May 2, 2018",4.1 and up
CG BILASPUR CARNIVAL,EVENTS,3.8,59,1.8,"5,000",Free,0,Everyone,Events,"April 11, 2018",4.0 and up
Get Free V-bucks_fortnite Hints,FAMILY,4.7,1997,1.8,"5,000",Free,0,Everyone,Entertainment,"July 21, 2018",4.4 and up
ESS Mobile for AE,PRODUCTIVITY,1.9,63,1.8,"5,000",Free,0,Everyone,Productivity,"September 27, 2016",3.0 and up
Morse Machine for Ham Radio,COMMUNICATION,4.8,341,9.6,"5,000",Paid,$0.99,Everyone,Communication,"February 20, 2015",2.0 and up
MedStar eVisit,MEDICAL,4.5,20,40.0,"5,000",Free,0,Everyone,Medical,"April 10, 2018",4.0.3 and up
CS Browser Beta,COMMUNICATION,4.3,125,53.0,"5,000",Free,0,Everyone,Communication,"October 16, 2017",4.1 and up
Sya9a Maroc - FR,FAMILY,4.5,38,53.0,"5,000",Free,0,Everyone,Education,"July 25, 2017",4.1 and up
BW Taxi,MAPS_AND_NAVIGATION,3.0,67,53.0,"5,000",Free,0,Everyone,Maps & Navigation,"May 1, 2018",5.0 and up
BD Live Call,COMMUNICATION,4.4,7,0.30078125,"5,000",Free,0,Everyone,Communication,"September 6, 2016",2.0 and up
BT One Voice mobile access,COMMUNICATION,4.0,32,0.4267578125,"5,000",Free,0,Everyone,Communication,"July 30, 2015",1.6 and up
SenseView BT Zephyr Sensor,TOOLS,4.3,37,0.3154296875,"5,000",Free,0,Everyone,Tools,"May 15, 2015",2.2 and up
Learn Morse Code - G0HYN Learn Morse,COMMUNICATION,4.0,27,0.5859375,"5,000",Free,0,Everyone,Communication,"May 8, 2018",2.2 and up
Remote EX for NISSAN,COMMUNICATION,2.3,223,1.0,"5,000",Paid,$1.49,Everyone,Communication,"July 26, 2014",3.0 and up
Fill 'er Up,TRAVEL_AND_LOCAL,3.2,58,0.017578125,"5,000",Free,0,Everyone,Travel & Local,"February 27, 2017",1.6 and up
Heirs & Graces,GAME,4.3,125,70.0,"5,000",Free,0,Teen,Adventure,"July 1, 2016",2.3.3 and up
Christella VoiceUp,MEDICAL,4.1,38,70.0,"5,000",Free,0,Everyone,Medical,"July 12, 2018",4.1 and up
Portal AR - Step Into Scotland,TRAVEL_AND_LOCAL,3.7,25,43.0,"5,000",Free,0,Everyone,Travel & Local,"June 4, 2018",7.0 and up
Toca Mystery House,FAMILY,4.2,96,79.0,"5,000",Paid,$3.99,Everyone,Educational;Creativity,"June 14, 2018",4.4 and up
Learn German: Die Bienenretter,FAMILY,4.0,25,79.0,"5,000",Free,0,Everyone,Educational;Education,"July 26, 2017",2.3 and up
Vi Trainer,HEALTH_AND_FITNESS,3.6,124,100.0,"5,000",Free,0,Everyone,Health & Fitness,"August 2, 2018",5.0 and up
I am rich(premium),FINANCE,3.5,472,0.9423828125,"5,000",Paid,$399.99,Everyone,Finance,"May 1, 2017",4.4 and up
X your Ex - Break Up Treatment,HEALTH_AND_FITNESS,4.0,32,64.0,"5,000",Free,0,Everyone,Health & Fitness,"May 20, 2017",4.1 and up
My Little Princess : Stores,FAMILY,4.3,169,60.0,"5,000",Paid,$2.99,Everyone,Educational;Pretend Play,"May 25, 2018",4.1 and up
BK Dinos,FAMILY,4.4,30,99.0,"5,000",Free,0,Everyone,Entertainment,"March 31, 2018",4.0 and up
AI Benchmark,TOOLS,4.0,97,99.0,"5,000",Free,0,Everyone,Tools,"June 29, 2018",4.1 and up
BN Pro PercentXL-b Neon HD Txt,LIBRARIES_AND_DEMO,4.0,45,0.822265625,"5,000",Free,0,Everyone,Libraries & Demo,"February 5, 2017",1.6 and up
BN Pro Play HD Text,LIBRARIES_AND_DEMO,4.4,63,0.4072265625,"5,000",Free,0,Everyone,Libraries & Demo,"February 5, 2017",1.6 and up
BN Pro Percent White HD Text,LIBRARIES_AND_DEMO,4.0,45,0.3271484375,"5,000",Free,0,Everyone,Libraries & Demo,"February 5, 2017",1.6 and up
BN Pro Roboto-b Neon HD Text,LIBRARIES_AND_DEMO,4.4,30,0.7041015625,"5,000",Free,0,Everyone,Libraries & Demo,"February 5, 2017",1.6 and up
BN Pro LcdD HD Text,LIBRARIES_AND_DEMO,4.0,50,0.419921875,"5,000",Free,0,Everyone,Libraries & Demo,"February 5, 2017",1.6 and up
BN Pro Battery Level-White,LIBRARIES_AND_DEMO,,21,0.1953125,"5,000",Free,0,Everyone,Libraries & Demo,"February 5, 2017",1.6 and up
BN Pro White Text,LIBRARIES_AND_DEMO,4.4,50,0.494140625,"5,000",Free,0,Everyone,Libraries & Demo,"February 5, 2017",1.6 and up
The Ah Yeah! Button,FAMILY,3.0,30,0.310546875,"5,000",Free,0,Everyone,Entertainment,"October 1, 2013",2.3 and up
CL Pebble Apps,LIFESTYLE,3.6,67,0.4873046875,"5,000",Free,0,Everyone,Lifestyle,"December 23, 2015",4.0 and up
CNY Slots : Gong Xi Fa Cai 发财机,GAME,3.6,33,71.0,"5,000",Free,0,Teen,Casino,"June 6, 2017",4.0.3 and up
Figment AR,FAMILY,3.7,22,90.0,"5,000",Free,0,Everyone,Entertainment,"July 10, 2018",7.0 and up
Learn Basic C - For Beginners,FAMILY,4.7,27,0.75390625,"5,000",Free,0,Everyone,Education,"January 20, 2016",3.0 and up
G Cloud Apps Backup Key * root,TOOLS,4.5,1034,0.19140625,"5,000",Paid,$4.99,Everyone,Tools,"September 8, 2013",2.2 and up
BC Lotto Check,FAMILY,3.0,10,0.7001953125,"5,000",Free,0,Everyone,Entertainment,"June 22, 2016",4.0.3 and up
bX Hot Articles by Ex Libris,FAMILY,4.3,42,0.541015625,"5,000",Free,0,Everyone,Education,"May 9, 2017",2.2 and up
Florida Driver License Test,FAMILY,4.5,65,0.458984375,"5,000",Free,0,Everyone,Education,"January 30, 2016",2.1 and up
EMT Study - NREMT Test Prep,MEDICAL,4.3,35,0.841796875,"5,000",Paid,$3.99,Everyone,Medical,"December 3, 2014",4.0.3 and up
Fever Meter,MEDICAL,3.6,26,0.9521484375,"5,000",Free,0,Everyone,Medical,"May 10, 2015",2.2 and up
"Talking Pictures: Autism, CP",MEDICAL,3.9,22,0.7822265625,"5,000",Free,0,Everyone,Medical,"March 6, 2017",3.0 and up
R-net for Android,PRODUCTIVITY,3.3,48,0.056640625,"5,000",Free,0,Everyone,Productivity,"August 7, 2013",3.1 and up
GTS-M,TOOLS,4.2,38,0.2451171875,"5,000",Free,0,Everyone,Tools,"January 26, 2017",1.6 and up
AP Installer,TOOLS,4.5,23,0.2763671875,"5,000",Free,0,Everyone,Tools,"July 20, 2018",3.2 and up
dB: Sound Meter Pro,TOOLS,4.3,31,0.22265625,"5,000",Free,0,Everyone,Tools,"December 12, 2016",4.0.3 and up
EZ Pass,TOOLS,2.5,15,0.22265625,"5,000",Free,0,Everyone,Tools,"September 10, 2016",2.3 and up
DW Missed call cleaner patch,TOOLS,3.9,65,0.052734375,"5,000",Free,0,Everyone,Tools,"November 27, 2014",2.0 and up
Advanced EX for HYUNDAI,TOOLS,2.7,168,0.166015625,"5,000",Paid,$4.99,Everyone,Tools,"March 14, 2015",1.6 and up
Advanced EX for FIAT,TOOLS,3.5,138,0.1376953125,"5,000",Paid,$4.99,Everyone,Tools,"March 5, 2015",1.6 and up
Advanced EX for KIA,TOOLS,3.3,257,0.15625,"5,000",Paid,$4.99,Everyone,Tools,"March 14, 2015",1.6 and up
Advanced EX for NISSAN,TOOLS,2.9,164,0.140625,"5,000",Paid,$4.99,Everyone,Tools,"March 14, 2015",1.6 and up
Advanced EX for RENAULT,TOOLS,2.8,130,0.1396484375,"5,000",Paid,$4.99,Everyone,Tools,"March 14, 2015",1.6 and up
EZ Utilities Extension,TOOLS,3.9,33,0.4619140625,"5,000",Free,0,Everyone,Tools,"May 5, 2016",6.0 and up
Wi-Fi Rabbit Unlock Key,TOOLS,4.5,142,0.025390625,"5,000",Paid,$1.00,Everyone,Tools,"June 26, 2011",2.1 and up
Prime Key for Nougat Launcher& O Launcher &KitKat,PERSONALIZATION,4.1,324,0.3056640625,"5,000",Paid,$6.99,Everyone,Personalization,"August 20, 2017",5.1 and up
Bullet - FN Theme,PERSONALIZATION,3.8,143,0.234375,"5,000",Free,0,Everyone,Personalization,"July 31, 2013",2.2 and up
Air Conditioner Maintenance,PRODUCTIVITY,4.0,11,0.21484375,"5,000",Free,0,Everyone,Productivity,"November 27, 2015",2.3.3 and up
AP ENPS Mobile,PRODUCTIVITY,4.1,22,0.5322265625,"5,000",Free,0,Everyone,Productivity,"March 8, 2016",4.4 and up
EU Economy,PRODUCTIVITY,3.6,47,0.8583984375,"5,000",Free,0,Everyone,Productivity,"December 19, 2017",4.2 and up
A-B repeater,VIDEO_PLAYERS,4.4,32,0.2333984375,"5,000",Free,0,Everyone,Video Players & Editors,"May 18, 2018",3.0 and up
Convert Coordinates DM to DMS,MAPS_AND_NAVIGATION,4.3,15,0.16015625,"5,000",Free,0,Everyone,Maps & Navigation,"February 3, 2013",2.2 and up
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19.0,"10,000",Free,0,Everyone,Art & Design,"January 7, 2018",4.0.3 and up
ADMIRALTY H-Note,BUSINESS,4.5,176,19.0,"10,000",Free,0,Everyone,Business,"October 25, 2016",5.0 and up
Dating Network,DATING,4.0,187,19.0,"10,000",Free,0,Mature 17+,Dating,"July 26, 2018",4.2 and up
Security Camera CZ,HOUSE_AND_HOME,4.4,137,19.0,"10,000",Free,0,Everyone,House & Home,"July 17, 2018",4.1 and up
EY Staff ENTERTAINER,LIFESTYLE,4.3,218,19.0,"10,000",Free,0,Everyone,Lifestyle,"January 16, 2017",2.3 and up
Axe Champ,GAME,3.8,141,19.0,"10,000",Free,0,Everyone,Arcade,"May 26, 2018",4.1 and up
kick the buddy,GAME,3.3,294,19.0,"10,000",Free,0,Everyone,Arcade,"July 19, 2018",3.0 and up
v-view,FAMILY,3.6,309,19.0,"10,000",Free,0,Everyone,Entertainment,"June 22, 2017",4.2 and up
Z-Empire: Dead Strike,FAMILY,4.6,99,19.0,"10,000",Free,0,Teen,Strategy,"June 8, 2018",4.0.3 and up
Formula DRIFT,SPORTS,4.6,169,19.0,"10,000",Free,0,Everyone,Sports,"July 27, 2018",4.0.3 and up
Q-Ticketing,MAPS_AND_NAVIGATION,3.8,114,19.0,"10,000",Free,0,Everyone,Maps & Navigation,"December 18, 2017",4.3 and up
Sugar Daddies Dating App,DATING,2.9,53,14.0,"10,000",Free,0,Mature 17+,Dating,"July 10, 2018",4.1 and up
USE Credit Union Mobile,FINANCE,4.6,964,14.0,"10,000",Free,0,Everyone,Finance,"June 12, 2018",5.0 and up
FX LITE BO,FINANCE,3.6,73,14.0,"10,000",Free,0,Everyone,Finance,"October 18, 2016",4.1 and up
Tropical Financial CU,FINANCE,4.6,1231,14.0,"10,000",Free,0,Everyone,Finance,"June 12, 2018",5.0 and up
